wilayah,latitude,longitude
Barking and Dagenham,51.5607,0.1557
Barnet,51.6252,-0.1517
Bexley,51.4549,0.1505
Brent,51.5588,-0.2817
Bromley,51.4039,0.0198
Camden,51.529,-0.1255
City of London,51.5155,-0.0922
Croydon,51.3714,-0.0977
Ealing,51.513,-0.3089
Enfield,51.6538,-0.0799
Greenwich,51.4892,0.0648
Hackney,51.545,-0.0553
Hammersmith and Fulham,51.4927,-0.2339
Haringey,51.6,-0.1119
Harrow,51.5898,-0.3346
Havering,51.5812,0.1837
Hillingdon,51.5441,-0.476
Hounslow,51.4746,-0.368
Islington,51.5416,-0.1022
Kensington and Chelsea,51.502,-0.1947
Kingston upon Thames,51.4085,-0.3064
Lambeth,51.4479,-0.0203
Lewisham,51.4607,-0.1163
Merton,51.4452,-0.0209
Newham,51.4014,-0.1958
Redbridge,51.5077,0.0469
Richmond upon Thames,51.559,0.0741
Southwark,51.4479,-0.326
Sutton,51.5035,-0.0804
Tower Hamlets,51.3618,-0.1945
Waltham Forest,51.5099,-0.0059
Wandsworth,51.5908,-0.191
Westminster,51.4567,-0.191
